Validator,PT_VERSION,2.10.0
Validator,HIP_VERSION,701
Validator,HIPBLASLT_VERSION,100100-f6fa39dccf
Validator,GCN_ARCH_NAME,gfx1151
Validator,ROCBLAS_VERSION,5.1.0.f6fa39dccf
GemmTunableOp_BFloat16_TN,tn_15360_7168_5120_ld_5120_5120_15360,Default,41.5952
GemmTunableOp_BFloat16_TN,tn_15360_7168_4096_ld_4096_4096_15360,Gemm_Rocblas_-1162085590,39.0184
GemmTunableOp_BFloat16_TN,tn_14336_7168_15360_ld_15360_15360_14336,Gemm_Rocblas_-1162085575,131.876
GemmTunableOp_BFloat16_TN,tn_14336_7168_14336_ld_14336_14336_14336,Gemm_Rocblas_-1162085581,150.142
GemmTunableOp_BFloat16_TN,tn_14336_7168_5120_ld_5120_5120_14336,Default,38.9953
GemmTunableOp_BFloat16_TN,tn_13312_7168_11264_ld_11264_11264_13312,Gemm_Rocblas_-1162085575,84.2404
GemmTunableOp_BFloat16_TN,tn_13312_7168_10240_ld_10240_10240_13312,Gemm_Rocblas_-1162085587,86.0608
GemmTunableOp_BFloat16_TN,tn_13312_7168_8192_ld_8192_8192_13312,Default,67.9807
GemmTunableOp_BFloat16_TN,tn_13312_7168_7168_ld_7168_7168_13312,Default,50.8
GemmTunableOp_BFloat16_TN,tn_13312_7168_3072_ld_3072_3072_13312,Gemm_Rocblas_-1162085591,21.5184
GemmTunableOp_BFloat16_TN,tn_13312_7168_2048_ld_2048_2048_13312,Gemm_Hipblaslt_502,18.0967
GemmTunableOp_BFloat16_TN,tn_12288_7168_14336_ld_14336_14336_12288,Gemm_Rocblas_-1162085575,127.931
GemmTunableOp_BFloat16_TN,tn_12288_7168_12288_ld_12288_12288_12288,Gemm_Rocblas_-1162085575,105.653
GemmTunableOp_BFloat16_TN,tn_8192_8192_9216_ld_9216_9216_8192,Default,47.8152
GemmTunableOp_BFloat16_TN,tn_12288_7168_11264_ld_11264_11264_12288,Default,78.0602
GemmTunableOp_BFloat16_TN,tn_12288_7168_10240_ld_10240_10240_12288,Default,81.9789
GemmTunableOp_BFloat16_TN,tn_12288_7168_8192_ld_8192_8192_12288,Gemm_Rocblas_-1162085591,64.6865
GemmTunableOp_BFloat16_TN,tn_12288_7168_6144_ld_6144_6144_12288,Gemm_Rocblas_-1162085592,47.6606
